Name,Price,Link,Sizes
Anta FREELANDER Кроссовки для фитнеса Бежевый/Серый,3 011,https://kinash.ru/products/anta-freelander-812237718-9-krossovki-dlya-fitnesa,41
Anta HIKING Кроссовки беговые Зеленые,4 405,https://kinash.ru/products/anta-hiking-812335595e-3-krossovki-povsednevnye,42
Anta FREELANDER Кроссовки для фитнеса Черный,3 278,https://kinash.ru/products/anta-freelander-812237718-10-krossovki-dlya-fitnesa,"39, 40, 41, 42, 43"
Anta A-EBUFFER Кроссовки для фитнеса Черный,8 290,https://kinash.ru/products/anta-a-ebuffer-822317719-2-krossovki-dlya-fitnesa,41
Anta A-EBUFFER Кроссовки для фитнеса Серый,2 247,https://kinash.ru/products/anta-a-ebuffer-812317719-4-krossovki-dlya-fitnesa,39
Anta HIKING Кроссовки беговые Черный,4 405,https://kinash.ru/products/anta-hiking-812335595e-4-krossovki-povsednevnye,"41,5, 42, 43"
Anta A-EBUFFER Кроссовки для фитнеса Черный/Белый,8 290,https://kinash.ru/products/anta-a-ebuffer-822317719-9-krossovki-dlya-fitnesa,40
Anta A-EBUFFER Кроссовки для фитнеса Черный/Красный,2 247,https://kinash.ru/products/anta-a-ebuffer-812317719-8-krossovki-dlya-fitnesa,"38, 39"
Anta FLASH BATTLE 5 Кроссовки баскетбольные Черный/Оранжевый,11 290,https://kinash.ru/products/anta-flash-battle-5-krossovki-basketbolnye-chernyi,45
Asics METARISE 2 Кроссовки волейбольные Белый/Темно-синий/Оранжевый,33 990,https://kinash.ru/products/asics-metarise-2-krossovki-voleibolnye-belyi-temno-sinii-oranzhevyi,"40, 40,5, 41, 42, 42,5, 43, 43,5, 44,5, 46,5, 47,5, 48"
"Asics SKY ELITE FF 3 ""PARIS"" Кроссовки волейбольные Желтый/Черный",21 990,https://kinash.ru/products/asics-sky-elite-ff-3-paris-krossovki-voleibolnye-zheltyi-chernyi,43
"Asics NETBURNER BALLISTIC FF 3 ""PARIS"" Кроссовки волейбольные Желтый/Черный",17 990,https://kinash.ru/products/asics-netburner-ballistic-ff-3-paris-krossovki-voleibolnye-zheltyi-chernyi,"42,5, 43, 43,5, 44,5"
Mizuno WAVE VOLTAGE 2 Кроссовки волейбольные Синий/Белый,13 990,https://kinash.ru/products/mizuno-wave-voltage-2-krossovki-voleibolnye-sinii-belyi,"41,5, 42, 43, 43,5, 44, 44,5, 45, 46"
Mizuno WAVE VOLTAGE 2 MID Кроссовки волейбольные Синий/Белый,14 990,https://kinash.ru/products/mizuno-wave-voltage-2-mid-krossovki-voleibolnye-sinii-belyi,"41, 41,5, 43, 43,5, 44, 45"
Asics NETBURNER BALLISTIC FF 3 (W) Кроссовки волейбольные женские Белый/Розовый,17 990,https://kinash.ru/products/asics-netburner-ballistic-ff-3-w-krossovki-voleibolnye-zhenskie-belyi-rozovyi,"35,5, 36, 37,5"
Mizuno WAVE MOMENTUM 3 Кроссовки волейбольные Салатовый/Голубой,19 990,https://kinash.ru/products/mizuno-wave-momentum-3-krossovki-voleibolnye-salatovyi-goluboi,"41, 42, 43, 43,5, 44, 44,5, 45, 46, 46,5, 47,5, 48,5"
Asics SKY ELITE FF 3 Кроссовки волейбольные Белый/Черный/Золотой,21 990,https://kinash.ru/products/asics-sky-elite-ff-3-krossovki-voleibolnye-belyi-chernyi-zolotoi,"45,5"
Mizuno WAVE LIGHTNING Z8 MID Кроссовки волейбольные Синий/Голубой,18 990,https://kinash.ru/products/mizuno-wave-lightning-z8-mid-krossovki-voleibolnye-sinii-goluboi,"43, 46, 46,5"
Asics NETBURNER BALLISTIC FF 3 Кроссовки волейбольные Белый/Темно-синий,17 990,https://kinash.ru/products/asics-netburner-ballistic-ff-3-krossovki-voleibolnye-belyi-temno-sinii,"43, 43,5, 44,5"
Nike ZOOM HYPERACE 3 Кроссовки волейбольные Белый/Черный,19 590,https://kinash.ru/products/nike-zoom-hyperace-3-krossovki-voleibolnye-belyi-chernyi,"38, 39, 39,5, 40, 41, 41,5, 42, 43, 43,5, 47,5, 48,5"
Asics SKY ELITE FF 3 (W) Кроссовки волейбольные женские Белый/Розовый,21 990,https://kinash.ru/products/asics-sky-elite-ff-3-w-krossovki-voleibolnye-zhenskie-belyi-rozovyi,"35,5, 36, 36,5, 38, 38,5, 39"
Asics SKY ELITE FF MT 3 (W) Кроссовки волейбольные женские Белый/Розовый,22 990,https://kinash.ru/products/asics-sky-elite-ff-mt-3-w-krossovki-voleibolnye-zhenskie-belyi-rozovyi,"35,5, 36, 36,5, 37,5, 38, 38,5, 39, 40,5"
Asics NETBURNER BALLISTIC FF MT 3 Кроссовки волейбольные Белый/Темно-синий,18 990,https://kinash.ru/products/asics-netburner-ballistic-ff-mt-3-krossovki-voleibolnye-belyi-temno-sinii,"42,5, 43"
Asics NETBURNER BALLISTIC FF MT 3 (W) Кроссовки волейбольные женские Белый/Розовый,18 990,https://kinash.ru/products/asics-netburner-ballistic-ff-mt-3-w-krossovki-voleibolnye-zhenskie-belyi-rozovyi,"35,5, 36, 36,5, 37,5, 38, 38,5, 39"
